tweet,label
PILGUB DKI 2017: Pelanggaran Pilkada Jakarta | http://ln.is/www.bisnis.com/DmF1u … http://ln.is/bitly.com/UrOyw . Pembelajaran..jgn terulang di putaran ke2.,netral
A' emang warga mana siih??Kok ngurusin bgt pilgub jakarta bgt sepertinya?? Hahaha https://twitter.com/aagym/status/831282953229438976 …,netral
PILGUB DKI 2017: Begini Pelanggaran Pilkada Jakarta http://dlvr.it/NPG793 ,negatif
@Bawaslu_RI: Laporan dugaan pelanggaran pilgub paling tinggi datang dari DKI Jakarta. http://bit.ly/2lnpkTs pic.twitter.com/qmSB9GQC6M,negatif
PILGUB DKI 2017: Begini Pelanggaran Pilkada Jakarta http://dlvr.it/NPG5Zr ,negatif
PILGUB DKI 2017: Begini Pelanggaran Pilkada Jakarta http://bit.ly/2lYQ4Gm ,negatif
PILGUB DKI 2017: Begini Pelanggaran Pilkada Jakarta http://dlvr.it/NPG53Z ,negatif
Ahok-Djarot diprediksi kalah di putaran kedua Pilgub Jakarta 2017 http://ow.ly/SXXi509Bv0m ,negatif
#WajibPemimpinMUslim Ahok-Djarot diprediksi kalah di putaran kedua Pilgub Jakarta 2017 http://dlvr.it/NPFZCf  #HaramPemimpinKafir,negatif
Ahok-Djarot diprediksi kalah di putaran kedua Pilgub Jakarta 2017 http://dlvr.it/NPFL3J ,negatif
Lari kemanakah suara dukungan AHY dlm pilgub jakarta nanti? ,negatif
Mengintip Arah Peta Koalisi Pilgub DKI Jakarta 2017 Putaran Kedua http://bit.ly/2laTPJJ ,netral
Mengintip Arah Peta Koalisi Pilgub DKI Jakarta 2017 Putaran Kedua http://bit.ly/2laTPJJ ,netral
"Ijinkan kami berbeda pandangan dalam Pilgub DKI Jakarta, keluar dari mainstream cara berpikir mayoritas namun... http://fb.me/4pxtb6cgW ",netral
"Lalu lintas langit Jakarta penuh sesak informasi Pilgub, mengalahkan lintasan pesawat",netral
Mengintip Arah Peta Koalisi Pilgub DKI Jakarta 2017 Putaran Kedua http://bit.ly/2kNMVck ,netral
Mengintip Arah Peta Koalisi Pilgub DKI Jakarta 2017 Putaran Kedua http://bit.ly/2kNMVck ,netral
"Pilgub Jakarta itu mudah.....
Pilih JOKOWI.....
ATO
Pilih PRABOWO.....
Gitu Aja Kok Repot.....",negatif
"Perjuangan Jakarta belum selesai, dengan itu saya memilih Ahok-Djarot di Pilgub kali ini. #VoteAhok every single vote counts!",positif
Rekap Online suara PILGUB DKI Jakarta https://pilkada2017.kpu.go.id/hasil/t1/dki_jakarta … semoga tidak curang,positif
#Fokus ICMI Apresiasi Pilgub Jakarta yang Damai - Detikcom http://dlvr.it/NP7fWm ,positif
#kabarPKC |  Agus Yudhoyono Diprediksi Akan Maju Dalam Pilgub Jawa Timur Setelah Tersingkir Dari Jakarta http://dlvr.it/NP7YpF pic.twitter.com/QOGZ2XyPq9,positif
KERICUHAN PILGUB DKI JAKARTA 2017 di DI BEBERAPA TPU: http://youtu.be/mI0cwTxKXY8?a  via @YouTube,negatif
"Dugaan pelanggaran pilgub terbanyak ada di Jakarta, http://fb.me/6beedEuZJ ",negatif
"Ikut Nyoblos di Pilgub DKI Jakarta, Para Tahanan KPK: Asal Bukan Dua http://ln.is/www.tribunnews.com/m/P4AGj … ORG JUJUR,BERSIH SEPERTI P AHOK PASTI DIMUSUHI",positif
"Heboh! Kandas di Jakarta, Agus Harimurti Dikabarkan Maju ke Pilgub Jatim, Ini Tanggapan ... http://bit.ly/2lX3EtV ",netral
"Siapa Yang Bersalah ?,Banyak Warga Tak Bisa Nyoblos Di Pilgub DKI Jakarta ! http://disq.us/t/2jwdpet ",negatif
"Ikut Nyoblos di Pilgub DKI Jakarta, Para Tahanan KPK: Asal Bukan Dua http://dlvr.it/NP5STk pic.twitter.com/rylc1gPaiy",negatif
"Pilgub DKI Jakarta Kondusif, Polri Tuai Pujian 

http://bit.ly/2kWl6RH 
#PilkadaDKI #Pilkada2017pic.twitter.com/s5c3UFS0da",positif
"Pencoblosan pada Pemilihan Gubernur (Pilgub) DKI Jakarta 2017 telah berakhir. Berdasarkan pantauan dari beberapa lembaga survei, Kamis (16…",netral
"Tribun: Ikut Nyoblos di Pilgub DKI Jakarta, Para Tahanan KPK: Asal Bukan Dua: ""Yang penting bukan (nomor… http://dlvr.it/NP558m  #NewsToday",netral
"namanya bajingan mana mau gaul sama superhero ,yekan? 

Ikut Nyoblos di Pilgub DKI Jakarta, Para Tahanan KPK: Asal Bukan Dua https://twitter.com/tribunnews/status/832247648031694848 …",negatif
Mahfud MD Ungkap Keterkaitan Manuver Antasari Azhar dan Pilgub DKI Jakarta http://wow.tribunnews.com/2017/02/16/mahfud-md-ungkap-keterkaitan-manuver-antasari-azhar-dan-pilgub-dki-jakarta … via @TribunWOW,negatif
Bawaslu: Pelanggaran Pilgub Tertinggi Terjadi di DKI Jakarta - https://redaksiislam.com/bawaslu-pelanggaran-pilgub-tertinggi-terjadi-di-dki-jakarta/ …pic.twitter.com/5gNBgB3Rd2,negatif
19 April dipastikan DKI Jakarta gelar pilgub putaran kedua. Polarisasi dukungan pasti terjadi terutama dr pendukung pasangan no 1,netral
Bawaslu: Dugaan Pelanggaran Pilgub Terbanyak di Jakarta http://dlvr.it/NP3MxK ,negatif
